Date,Open,High,Low,Close,Adj Close,Volume
2016-08-08,26.879999,27.092501,26.790001,27.092501,25.446508,112148800
2016-08-09,27.057501,27.235001,27.002501,27.202499,25.549829,105260800
2016-08-10,27.177500,27.225000,26.940001,27.000000,25.359632,96034000
2016-08-11,27.129999,27.232500,26.962500,26.982500,25.343191,109938000
2016-08-12,26.945000,27.110001,26.945000,27.045000,25.401896,74641600
2016-08-15,27.035000,27.385000,27.020000,27.370001,25.707157,103472800
2016-08-16,27.407499,27.557501,27.302500,27.344999,25.683668,135177600
2016-08-17,27.275000,27.342501,27.084999,27.305000,25.646103,101424000
2016-08-18,27.307501,27.400000,27.254999,27.270000,25.613228,87938800
2016-08-19,27.192499,27.422501,27.090000,27.340000,25.678976,101472400
2016-08-22,27.215000,27.275000,26.962500,27.127501,25.479387,103280800
2016-08-23,27.147499,27.330000,27.132500,27.212500,25.559221,85030800
2016-08-24,27.142500,27.187500,26.920000,27.007500,25.366678,94700400
2016-08-25,26.847500,26.969999,26.670000,26.892500,25.258661,100344800
2016-08-26,26.852501,26.987499,26.577499,26.735001,25.110729,111065200
2016-08-29,26.655001,26.860001,26.572500,26.705000,25.082554,99881200
2016-08-30,26.450001,26.625000,26.375000,26.500000,24.890011,99455600
2016-08-31,26.415001,26.642500,26.410000,26.525000,24.913488,118649600
2016-09-01,26.535000,26.700001,26.405001,26.682501,25.061424,106806000
2016-09-02,26.924999,27.000000,26.705000,26.932501,25.296234,107210000
2016-09-06,26.975000,27.075001,26.877501,26.924999,25.289190,107521600
2016-09-07,26.957500,27.190001,26.767500,27.090000,25.444162,169457200
2016-09-08,26.812500,26.817499,26.309999,26.379999,24.777298,212008000
2016-09-09,26.160000,26.430000,25.782499,25.782499,24.216099,186228000
2016-09-12,25.662500,26.430000,25.632500,26.360001,24.758516,181171200
2016-09-13,26.877501,27.197500,26.809999,26.987499,25.347887,248704800
2016-09-14,27.182501,28.257500,27.150000,27.942499,26.244867,443554800
2016-09-15,28.465000,28.932501,28.372499,28.892500,27.137156,359934400
2016-09-16,28.780001,29.032499,28.510000,28.730000,26.984528,319547600
2016-09-19,28.797501,29.045000,28.312500,28.395000,26.669876,188092000
2016-09-20,28.262501,28.530001,28.127501,28.392500,26.667530,138057200
2016-09-21,28.462500,28.497499,28.110001,28.387501,26.662834,144012800
2016-09-22,28.587500,28.735001,28.500000,28.655001,26.914087,124296000
2016-09-23,28.605000,28.697500,27.887501,28.177500,26.465593,209924800
2016-09-26,27.910000,28.347500,27.887501,28.219999,26.505508,119477600
2016-09-27,28.250000,28.295000,28.084999,28.272499,26.554825,98429600
2016-09-28,28.422501,28.660000,28.357500,28.487499,26.756763,118564400
2016-09-29,28.290001,28.450001,27.950001,28.045000,26.341145,143548000
2016-09-30,28.115000,28.342501,27.950001,28.262501,26.545429,145516400
2016-10-03,28.177500,28.262501,28.070000,28.129999,26.420979,86807200
2016-10-04,28.264999,28.577499,28.157499,28.250000,26.533686,118947200
2016-10-05,28.350000,28.415001,28.172501,28.262501,26.545429,85812400
2016-10-06,28.424999,28.584999,28.282499,28.472500,26.742670,115117200
2016-10-07,28.577499,28.639999,28.377501,28.514999,26.782583,97433600
2016-10-10,28.754999,29.187500,28.680000,29.012501,27.249866,144944000
2016-10-11,29.424999,29.672501,29.049999,29.075001,27.308571,256164000
2016-10-12,29.337500,29.495001,29.187500,29.334999,27.552769,150347200
2016-10-13,29.197500,29.360001,28.930000,29.245001,27.468241,140769600
2016-10-14,29.469999,29.542500,29.282499,29.407499,27.620863,142608800
2016-10-17,29.332500,29.459999,29.195000,29.387501,27.602079,94499600
2016-10-18,29.545000,29.552500,29.362499,29.367500,27.583296,98214000
2016-10-19,29.312500,29.440001,28.450001,29.280001,27.501110,80138400
2016-10-20,29.215000,29.344999,29.082500,29.264999,27.487022,96503200
2016-10-21,29.202499,29.227501,29.070000,29.150000,27.379011,92770800
2016-10-24,29.275000,29.434999,29.250000,29.412500,27.625566,94154800
2016-10-25,29.487499,29.590000,29.327499,29.562500,27.766449,192516000
2016-10-26,28.577499,28.924999,28.327499,28.897499,27.141850,264536800
2016-10-27,28.847500,28.965000,28.525000,28.620001,26.881210,138248000
2016-10-28,28.467501,28.802500,28.362499,28.430000,26.702751,151446800
2016-10-31,28.412500,28.557501,28.299999,28.385000,26.660484,105677600
2016-11-01,28.365000,28.442499,27.632500,27.872499,26.179125,175303200
2016-11-02,27.850000,28.087500,27.807501,27.897499,26.202606,113326800
2016-11-03,27.745001,27.865000,27.387501,27.457500,25.921747,107730400
2016-11-04,27.132500,27.562500,27.027500,27.209999,25.688087,123348000
2016-11-07,27.520000,27.627501,27.365000,27.602501,26.058634,130240000
2016-11-08,27.577499,27.930000,27.424999,27.764999,26.212044,97016800
2016-11-09,27.469999,27.830000,27.012501,27.719999,26.169559,236705600
2016-11-10,27.772499,27.772499,26.457500,26.947500,25.440268,228538000
2016-11-11,26.780001,27.217501,26.637501,27.107500,25.591320,136575600
2016-11-14,26.927500,26.952499,26.020000,26.427500,24.949354,204702000
2016-11-15,26.642500,26.920000,26.540001,26.777500,25.279776,129058000
2016-11-16,26.674999,27.557501,26.650000,27.497499,25.959503,235362000
2016-11-17,27.452499,27.587500,27.207500,27.487499,25.950066,110528000
2016-11-18,27.430000,27.635000,27.415001,27.514999,25.976027,113715600
2016-11-21,27.530001,27.997499,27.502501,27.932501,26.370180,117058400
2016-11-22,27.987499,28.105000,27.850000,27.950001,26.386698,103862000
2016-11-23,27.840000,27.877501,27.582500,27.807501,26.252167,109705600
2016-11-25,27.782499,27.967501,27.737499,27.947500,26.384338,45903600
2016-11-28,27.857500,28.117500,27.847500,27.892500,26.332415,108776000
2016-11-29,27.695000,28.007500,27.517500,27.865000,26.306452,114115200
2016-11-30,27.900000,28.049999,27.567499,27.629999,26.084597,144649200
2016-12-01,27.592501,27.735001,27.257500,27.372499,25.841503,148347600
2016-12-02,27.292500,27.522499,27.212500,27.475000,25.938267,106112000
2016-12-05,27.500000,27.507500,27.062500,27.277500,25.751810,137298000
2016-12-06,27.375000,27.590000,27.297501,27.487499,25.950066,104782000
2016-12-07,27.315001,27.797501,27.290001,27.757500,26.204964,119994800
2016-12-08,27.715000,28.107500,27.650000,28.030001,26.462227,108273200
2016-12-09,28.077499,28.674999,28.077499,28.487499,26.894136,137610400
2016-12-12,28.322500,28.750000,28.122499,28.325001,26.740721,105497600
2016-12-13,28.459999,28.980000,28.437500,28.797501,27.186798,174935200
2016-12-14,28.760000,29.049999,28.745001,28.797501,27.186798,136127200
2016-12-15,28.844999,29.182501,28.807501,28.955000,27.335484,186098000
2016-12-16,29.117500,29.125000,28.912500,28.992500,27.370890,177404400
2016-12-19,28.950001,29.344999,28.937500,29.160000,27.529018,111117600
2016-12-20,29.184999,29.375000,29.170000,29.237499,27.602188,85700000
2016-12-21,29.200001,29.350000,29.195000,29.264999,27.628145,95132800
2016-12-22,29.087500,29.127501,28.910000,29.072500,27.446415,104343600
2016-12-23,28.897499,29.129999,28.897499,29.129999,27.500698,56998000
2016-12-27,29.129999,29.450001,29.122499,29.315001,27.675356,73187600
2016-12-28,29.379999,29.504999,29.049999,29.190001,27.557346,83623600
2016-12-29,29.112499,29.277500,29.100000,29.182501,27.550264,60158000
2016-12-30,29.162500,29.299999,28.857500,28.955000,27.335484,122345200
2017-01-03,28.950001,29.082500,28.690001,29.037500,27.413372,115127600
2017-01-04,28.962500,29.127501,28.937500,29.004999,27.382690,84472400
2017-01-05,28.980000,29.215000,28.952499,29.152500,27.521944,88774400
2017-01-06,29.195000,29.540001,29.117500,29.477501,27.828764,127007600
2017-01-09,29.487499,29.857500,29.485001,29.747499,28.083660,134247600
2017-01-10,29.692499,29.844999,29.575001,29.777500,28.111979,97848400
2017-01-11,29.684999,29.982500,29.650000,29.937500,28.263029,110354400
2017-01-12,29.725000,29.825001,29.552500,29.812500,28.145027,108344800
2017-01-13,29.777500,29.905001,29.702499,29.760000,28.095461,104447600
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.322041,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.319677,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.270119,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.322041,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.340923,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.314957,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.765747,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.779911,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.782272,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.706743,121510000
2017-01-31,30.287500,30.347500,30.155001,30.337500,28.640661,196804000
2017-02-01,31.757500,32.622501,31.752501,32.187500,30.387186,447940000
2017-02-02,31.995001,32.347500,31.945000,32.132500,30.335266,134841600
2017-02-03,32.077499,32.297501,32.040001,32.270000,30.465073,98029200
2017-02-06,32.282501,32.625000,32.224998,32.572498,30.750654,107383600
2017-02-07,32.634998,33.022499,32.612499,32.882500,31.043314,152735200
2017-02-08,32.837502,33.055000,32.805000,33.009998,31.163679,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105000,31.388868,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,31.317757,80262000
2017-02-13,33.270000,33.455002,33.187500,33.322498,31.595093,92141600
2017-02-14,33.367500,33.772499,33.312500,33.755001,32.005180,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,32.121319,142492400
2017-02-16,33.917500,33.974998,33.709999,33.837502,32.083401,90338400
2017-02-17,33.775002,33.957500,33.775002,33.930000,32.171108,88792800
2017-02-21,34.057499,34.187500,33.994999,34.174999,32.403400,98028800
2017-02-22,34.107498,34.279999,34.027500,34.277500,32.500591,83347600
2017-02-23,34.345001,34.369999,34.075001,34.132500,32.363113,83152800
2017-02-24,33.977501,34.165001,33.820000,34.165001,32.393925,87106400
2017-02-27,34.285000,34.360001,34.070000,34.232498,32.457920,81029600
2017-02-28,34.270000,34.360001,34.174999,34.247501,32.472145,93931600
2017-03-01,34.472500,35.037498,34.400002,34.947498,33.135860,145658400
2017-03-02,35.000000,35.070000,34.689999,34.740002,32.939114,104844000
2017-03-03,34.695000,34.957500,34.647499,34.945000,33.133476,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,33.029186,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,33.071854,69785200
2017-03-08,34.737499,34.950001,34.705002,34.750000,32.948601,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.872742,88623600
2017-03-10,34.812500,34.840000,34.660000,34.785000,32.981777,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,32.996002,69686800
2017-03-14,34.825001,34.912498,34.709999,34.747501,32.946220,61236400
2017-03-15,34.852501,35.187500,34.757500,35.115002,33.294674,102767200
2017-03-16,35.180000,35.255001,35.064999,35.172501,33.349194,76928000
2017-03-17,35.250000,35.250000,34.972500,34.997501,33.183266,175540000
2017-03-20,35.099998,35.375000,35.057499,35.365002,33.531719,86168000
2017-03-21,35.527500,35.700001,34.932499,34.959999,33.147709,158119600
2017-03-22,34.962502,35.400002,34.939999,35.355000,33.522228,103440800
2017-03-23,35.314999,35.395000,35.152500,35.230000,33.403709,81385200
2017-03-24,35.375000,35.435001,35.087502,35.160000,33.337337,89582400
2017-03-27,34.847500,35.305000,34.654999,35.220001,33.394238,94300400
2017-03-28,35.227501,36.009998,35.154999,35.950001,34.086391,133499200
2017-03-29,35.919998,36.122501,35.797501,36.029999,34.162235,116760000
2017-03-30,36.047501,36.125000,35.875000,35.982498,34.117195,84829200
2017-03-31,35.930000,36.067501,35.752499,35.915001,34.053204,78646800
2017-04-03,35.927502,36.029999,35.762501,35.924999,34.062683,79942800
2017-04-04,35.812500,36.222500,35.792500,36.192501,34.316322,79565600
2017-04-05,36.055000,36.365002,35.952499,36.005001,34.138531,110871600
2017-04-06,36.072498,36.130001,35.862499,35.915001,34.053204,84596000
2017-04-07,35.932499,36.044998,35.817501,35.834999,33.977352,66688800
2017-04-10,35.900002,35.970001,35.724998,35.792500,33.937054,75733600
2017-04-11,35.735001,35.837502,35.014999,35.407501,33.572010,121517600
2017-04-12,35.400002,35.537498,35.252499,35.450001,33.612312,81400000
2017-04-13,35.477501,35.595001,35.262501,35.262501,33.434532,71291600
2017-04-17,35.369999,35.470001,35.217499,35.457500,33.619411,66328400
2017-04-18,35.352501,35.509998,35.277500,35.299999,33.470081,58790000
